Product Name,Original Price,Clearance Price,Percentage Off,Product Category,Product Code,Rating,Link,Sale Price
SIMONIZ Platinum Long Handle Wool Brush,9.99,1.93,81.0,car-care-accessories,039-9088-8,2.8,https://www.canadiantire.ca/en/pdp/simoniz-platinum-long-handle-wool-brush-0399088p.html#srp,
"More Birds X-1 Squirrel Proof Bird Feeder with 4 Feeding Ports, 4-lb",43.99,29.93,32.0,pet-care,142-0372-6,3.8,https://www.canadiantire.ca/en/pdp/more-birds-x-1-squirrel-proof-bird-feeder-with-4-feeding-ports-4-lb-1420372p.html#srp,
"Outdoor Durable Waterproof Round Trampoline Weather Cover, 15-ft, with Strong Straps",49.99,19.93,60.0,backyard-fun,184-0780-4,1.3,https://www.canadiantire.ca/en/pdp/outdoor-durable-waterproof-round-trampoline-weather-cover-15-ft-with-strong-straps-1840780p.html#srp,
"CANVAS Kole Ceiling Pendant Light Fixture, Gold & Pewter Plated",89.99,24.93,72.0,home-decor,052-1418-8,3.3,https://www.canadiantire.ca/en/pdp/canvas-kole-ceiling-pendant-light-fixture-gold-pewter-plated-0521418p.html#srp,
"Umbra Loft Suds Melamine Soap Dispenser, Charcoal",17.99,9.93,45.0,home-decor,063-2461-0,4.0,https://www.canadiantire.ca/en/pdp/umbra-loft-suds-melamine-soap-dispenser-charcoal-0632461p.html#srp,
Berkley Fusion 19 Octopus Hooks,5.29,2.43,54.0,fishing,077-7717X,4.8,https://www.canadiantire.ca/en/pdp/berkley-fusion-19-octopus-hooks-0777717p.html#srp,
For Living Stainless Steel Soap Dispenser,12.99,7.73,40.0,home-decor,063-2295-6,3.3,https://www.canadiantire.ca/en/pdp/for-living-stainless-steel-soap-dispenser-0632295p.html#srp,
Reese Brake Control Converter and 7-Way Adapter Kit,109.99,19.93,82.0,automotive-outdoor-adventure,040-9854-8,0.0,https://www.canadiantire.ca/en/pdp/reese-brake-control-converter-and-7-way-adapter-kit-0409854p.html#srp,
Plano 3700 Guide Series Stowaway,19.99,13.93,30.0,fishing,078-5922-2,4.5,https://www.canadiantire.ca/en/pdp/plano-3700-guide-series-stowaway-0785922p.html#srp,
"Swimways SunShield Floating Trainer UPF50+ Sun Protected Baby Swim Vest, Pink, Age 4+",24.99,12.43,50.0,,081-3592-8,3.6,https://www.canadiantire.ca/en/pdp/swimways-sunshield-floating-trainer-upf50-sun-protected-baby-swim-vest-pink-age-4-0813592p.html#srp,
"Armor All Smoke X™ Air Freshener Spray, Citrus Breeze",7.99,4.93,38.0,car-care-accessories,037-2731-2,3.9,https://www.canadiantire.ca/en/pdp/armor-all-smoke-x-air-freshener-spray-citrus-breeze-0372731p.html#srp,
Gila® HEAT SHIELD™ Automotive Window Tint,28.99,2.93,90.0,car-care-accessories,041-1940X,2.8,https://www.canadiantire.ca/en/pdp/gila-heat-shield-automotive-window-tint-0411940p.html#srp,
"General Tools 352 Magnetic Rubber Adhesive, 8-pc",9.99,1.43,86.0,tools,058-6860-0,3.7,https://www.canadiantire.ca/en/pdp/general-tools-352-magnetic-rubber-adhesive-8-pc-0586860p.html#srp,
PinWiz Trailer Hitch Clip,,2.93,,automotive-outdoor-adventure,399-2254-6,4.8,https://www.canadiantire.ca/en/pdp/pinwiz-trailer-hitch-clip-3992254p.html#srp,
"Oregon M78 SpeedCut Chainsaw Chain, Fits Husqvarna, Mastercraft, 20-in",39.99,9.93,75.0,outdoor-tools,054-5609-6,5.0,https://www.canadiantire.ca/en/pdp/oregon-m78-speedcut-chainsaw-chain-fits-husqvarna-mastercraft-20-in-0545609p.html#srp,
Burcam 150152 Submersibles Splice Kit,13.99,8.93,36.0,plumbing,062-4115-6,5.0,https://www.canadiantire.ca/en/pdp/burcam-150152-submersibles-splice-kit-0624115p.html#srp,
"High & Mighty Large Oval Metal Hook, 25-lb Capacity, Assorted Colours",19.99,9.93,50.0,hardware,061-1851X,4.8,https://www.canadiantire.ca/en/pdp/high-mighty-large-oval-metal-hook-25-lb-capacity-assorted-colours-0611851p.html#srp,
"PAWS UP! Beef Steer Sticks Dog Treats, 6-in, 119-g",19.99,10.93,45.0,pet-care,142-2567-2,4.3,https://www.canadiantire.ca/en/pdp/paws-up-beef-steer-sticks-dog-treats-6-in-119-g-1422567p.html#srp,
Cuisinart Gourmet 600B Natural Gas BBQ,519.99,379.93,27.0,backyard-living,085-3095-4,3.9,https://www.canadiantire.ca/en/pdp/cuisinart-gourmet-600b-natural-gas-bbq-0853095p.html#srp,
"Tasco SPortsman Series Rifle ScoPe, 4-12x40mm",169.99,114.93,32.0,hunting,175-9411-2,4.8,https://www.canadiantire.ca/en/pdp/tasco-sportsman-series-rifle-scope-4-12x40mm-1759411p.html#srp,
"Sonax 143 DA Polish Finishing Pad, Yellow",26.99,9.93,63.0,car-care-accessories,039-0831-2,5.0,https://www.canadiantire.ca/en/pdp/sonax-143-da-polish-finishing-pad-yellow-0390831p.html#srp,
STP Ultra 5-in-1 Car Care Kit,,14.93,,auto-maintenance,399-9531-4,4.5,https://www.canadiantire.ca/en/pdp/stp-ultra-5-in-1-car-care-kit-3999531p.html#srp,
"Berkley® Cutter 90 Plus Suspended Jerk Bait Fishing Lure, 3.5-in",13.49,6.43,52.0,fishing,077-7307X,4.6,https://www.canadiantire.ca/en/pdp/berkley-cutter-90-plus-suspended-jerk-bait-fishing-lure-3-5-in-0777307p.html#srp,
"Natures Way Funnel Flip Top Mesh Finch Bird Feeder, 1.5-qt",30.99,17.93,42.0,pet-care,142-9173-6,3.7,https://www.canadiantire.ca/en/pdp/nature-s-way-funnel-flip-top-mesh-finch-bird-feeder-1-5-qt-1429173p.html#srp,
"K&W Fiberlock Head Gasket & Block Repair, 946-mL",39.99,3.93,90.0,auto-maintenance,038-0853-2,2.5,https://www.canadiantire.ca/en/pdp/k-w-fiberlock-head-gasket-block-repair-946-ml-0380853p.html#srp,
Berkley Fusion 19 Aberdeen Hooks,5.29,2.43,54.0,fishing,077-7730X,5.0,https://www.canadiantire.ca/en/pdp/berkley-fusion-19-aberdeen-hooks-0777730p.html#srp,
"NOMA Low Voltage Outdoor Splitter, Y-Adapter For Lighting",5.99,0.43,93.0,backyard-living,052-8543-6,2.3,https://www.canadiantire.ca/en/pdp/noma-low-voltage-outdoor-splitter-y-adapter-for-lighting-0528543p.html#srp,
Camillus Hunt Tag Pouch & License Punch,12.99,2.93,77.0,hunting,375-0500-8,5.0,https://www.canadiantire.ca/en/pdp/camillus-hunt-tag-pouch-license-punch-3750500p.html#srp,
"CANVAS Summerfields Outdoor Dinner Plates, 1-pc",4.99,0.93,81.0,backyard-living,059-7340-0,4.7,https://www.canadiantire.ca/en/pdp/canvas-summerfields-outdoor-dinner-plates-1-pc-0597340p.html#srp,
"Sengled PAR38 E26 Base Motion Sensor Smart LED Light Bulb, Bright White",39.99,19.93,50.0,electrical,152-2549-2,5.0,https://www.canadiantire.ca/en/pdp/sengled-par38-e26-base-motion-sensor-smart-led-light-bulb-bright-white-1522549p.html#srp,
Burcam 740850 1/4-in Pressure Switch Hose,11.99,7.93,34.0,plumbing,062-4122-8,4.5,https://www.canadiantire.ca/en/pdp/burcam-740850-1-4-in-pressure-switch-hose-0624122p.html#srp,
CANVAS Designer Series Canadiana Serving Tray,19.99,9.93,50.0,,059-7347-6,5.0,https://www.canadiantire.ca/en/pdp/canvas-designer-series-canadiana-serving-tray-0597347p.html#srp,
Honeywell Home Humidifier 480,319.99,219.93,31.0,home-environment,043-0182-4,5.0,https://www.canadiantire.ca/en/pdp/honeywell-home-humidifier-480-0430182p.html#srp,
"Premier Extra Wood Deck Stain Stripper, Biodegradable, 3.78-L/1-Gallon",35.99,22.93,36.0,paint,048-8946-0,1.9,https://www.canadiantire.ca/en/pdp/premier-extra-wood-deck-stain-stripper-biodegradable-3-78-l-1-gallon-0488946p.html#srp,
"Berkley Trilene TransOptic Monofilament Fishing Line, Clear/Gold",13.99,6.93,50.0,fishing,077-5600X,4.0,https://www.canadiantire.ca/en/pdp/berkley-trilene-transoptic-monofilament-fishing-line-clear-gold-0775600p.html#srp,
"SIMONIZ Waterless Car Wash & Wax Spray, 454-g",13.99,6.93,50.0,car-care-accessories,039-2520-0,4.5,https://www.canadiantire.ca/en/pdp/simoniz-waterless-car-wash-wax-spray-454-g-0392520p.html#srp,
"Feit Electric GY8.6 Base Security Non-Dimmable LED Light Bulb, 160 Lumens, Warm White, 20W",13.49,6.93,49.0,electrical,052-8072-6,3.0,https://www.canadiantire.ca/en/pdp/feit-electric-gy8-6-base-security-non-dimmable-led-light-bulb-160-lumens-warm-white-20w-0528072p.html#srp,
"Mastercraft 1/8-in Pin Punch, Steel",10.99,6.43,41.0,tools,058-1628-6,3.3,https://www.canadiantire.ca/en/pdp/mastercraft-1-8-in-pin-punch-steel-0581628p.html#srp,
Hillman Pro Picture Hangers- 10lb-FD,4.79,1.43,70.0,hardware,161-9060-8,4.9,https://www.canadiantire.ca/en/pdp/hillman-pro-picture-hangers-10lb-fd-1619060p.html#srp,
"Petco Nylon Dog Collar, Adjustable, Assorted Sizes, Rose Gold/Grey",,19.99,,pet-care,142-6100X,4.8,https://www.canadiantire.ca/en/pdp/petco-nylon-dog-collar-adjustable-assorted-sizes-rose-gold-grey-1426102p.html#srp,
"Rust Oleum Wipe New Synthetic Car Wax System Kit, 4-pc, 118-mL",41.99,,,car-care-accessories,039-0563-0,1.0,https://www.canadiantire.ca/en/pdp/rust-oleum-wipe-new-synthetic-car-wax-system-kit-4-pc-118-ml-0390563p.html#srp,
"CANVAS Cloud Print Light Filtering Curtain, 2-pk, 40-in 63-in",44.99,22.93,49.0,home-decor,046-6857-8,4.5,https://www.canadiantire.ca/en/pdp/canvas-cloud-print-light-filtering-curtain-2-pk-40-in-63-in-0466857p.html#srp,
Bushnell 30MP Core 4K Single No Glow Camo,299.99,209.93,30.0,hunting,375-1276-6,0.0,https://www.canadiantire.ca/en/pdp/bushnell-30mp-core-4k-single-no-glow-camo-3751276p.html#srp,
PrideSports Collapsible Golf Multi-Tool,10.49,4.93,53.0,team-sports-and-golf,086-1005-0,3.0,https://www.canadiantire.ca/en/pdp/pridesports-collapsible-golf-multi-tool-0861005p.html#srp,
"Febreze Evening Woods Vent Clip, 2-pk",6.79,3.43,49.0,car-care-accessories,037-4878-2,4.7,https://www.canadiantire.ca/en/pdp/febreze-evening-woods-vent-clip-2-pk-0374878p.html#srp,
"Dupli-Color Scratch Fix All-In-1, Drift Sand Metallic (49 WA220C)",20.99,1.93,91.0,car-care-accessories,047-4998-2,0.0,https://www.canadiantire.ca/en/pdp/dupli-color-scratch-fix-all-in-1-drift-sand-metallic-49-wa220c-0474998p.html#srp,
"Matrix Power Elite EXP Aluminum & Steel Badminton Racquet/Racket, Yellow/Black, 26-in",24.99,14.93,40.0,team-sports-and-golf,084-7995-0,4.0,https://www.canadiantire.ca/en/pdp/matrix-power-elite-exp-aluminum-steel-badminton-racquet-racket-yellow-black-26-in-0847995p.html#srp,
"PrideSports Canadian Flag Golf Divot Repair Tool, Include Ball Marker",8.49,3.93,54.0,team-sports-and-golf,086-0390-6,4.0,https://www.canadiantire.ca/en/pdp/pridesports-canadian-flag-golf-divot-repair-tool-include-ball-marker-0860390p.html#srp,
"For Living Apothecary Ceramic Soap Dish, White",10.99,5.93,46.0,home-decor,063-2259-4,5.0,https://www.canadiantire.ca/en/pdp/for-living-apothecary-ceramic-soap-dish-white-0632259p.html#srp,
Netgear Wireless AC1750 Dual Band Smart Wi-Fi Router,129.99,49.93,62.0,electronics,069-4089-4,4.7,https://www.canadiantire.ca/en/pdp/netgear-wireless-ac1750-dual-band-smart-wi-fi-router-0694089p.html#srp,
"STP Ultra 5-in-1 Diesel All Season Fuel System Cleaner, 354mL",,19.99,,auto-maintenance,038-0886X,4.7,https://www.canadiantire.ca/en/pdp/stp-ultra-5-in-1-diesel-all-season-fuel-system-cleaner-354ml-0380886p.html#srp,
"CRC Guaranteed To Pass Emissions System Cleaner, 354-mL",16.49,,,auto-maintenance,038-0709-8,4.0,https://www.canadiantire.ca/en/pdp/crc-guaranteed-to-pass-emissions-system-cleaner-354-ml-0380709p.html#srp,
"Bluehive Type-C Charger & Sync Cable, Chevron, Red, 3-ft",12.99,6.43,51.0,car-care-accessories,035-0386-0,4.3,https://www.canadiantire.ca/en/pdp/bluehive-type-c-charger-sync-cable-chevron-red-3-ft-0350386p.html#srp,
Leviton Renu Colour Change GFCI,2.39,0.73,69.0,electrical,052-6980X,0.0,https://www.canadiantire.ca/en/pdp/leviton-renu-colour-change-gfci-0526980p.html#srp,
"CANVAS Felt Message Board, Grey/White, 15.75 x 0.7 x 11.8-in",24.99,9.93,60.0,home-decor,068-7134-0,4.7,https://www.canadiantire.ca/en/pdp/canvas-felt-message-board-grey-white-15-75-x-0-7-x-11-8-in-0687134p.html#srp,
"Dupli-Color Scratch Fix All-In-1, Forest Pepper Red (PEA, VEA)",20.99,1.93,91.0,car-care-accessories,047-5181-8,0.0,https://www.canadiantire.ca/en/pdp/dupli-color-scratch-fix-all-in-1-forest-pepper-red-pea-vea-0475181p.html#srp,
Autotrends 12V Automotive Lighter,15.99,6.93,57.0,car-care-accessories,037-2624-8,3.3,https://www.canadiantire.ca/en/pdp/autotrends-12v-automotive-lighter-0372624p.html#srp,
"Toronto Blue Jays Plastic Travel Water Bottle For MLB Baseball Fans/Collectors, Blue, 28-oz",19.99,9.93,50.0,team-sports-and-golf,084-5615-8,3.6,https://www.canadiantire.ca/en/pdp/toronto-blue-jays-plastic-travel-water-bottle-for-mlb-baseball-fans-collectors-blue-28-oz-0845615p.html#srp,
"Petco Cozy Reversible Plaid Dog Coat Jacket, Large/X-Large, Red",19.99,9.93,50.0,pet-care,142-3973-8,4.2,https://www.canadiantire.ca/en/pdp/petco-cozy-reversible-plaid-dog-coat-jacket-large-x-large-red-1423973p.html#srp,
"Handi-Foil Large Aluminum Pie Plate, 9-in, 3-pk",3.49,1.43,59.0,home-essentials,042-0657-8,5.0,https://www.canadiantire.ca/en/pdp/handi-foil-large-aluminum-pie-plate-9-in-3-pk-0420657p.html#srp,
"HeathZenith Wireless Battery 100-ft Push Doorbell Chime Button, White",19.99,9.93,50.0,hardware,052-2022-2,1.0,https://www.canadiantire.ca/en/pdp/heathzenith-wireless-battery-100-ft-push-doorbell-chime-button-white-0522022p.html#srp,
TaylorMade Golf Hat,29.99,8.93,70.0,team-sports-and-golf,086-0201X,3.3,https://www.canadiantire.ca/en/pdp/taylormade-golf-hat-0860201p.html#srp,
"Febreze Light Car Vent Clip Air Freshener, Bamboo, 2-pk",6.79,3.43,49.0,car-care-accessories,037-6668-0,4.3,https://www.canadiantire.ca/en/pdp/febreze-light-car-vent-clip-air-freshener-bamboo-2-pk-0376668p.html#srp,
"Petco Squeak Plush Zebra Dog Toy, Medium",13.99,8.93,36.0,pet-care,142-3965-8,4.2,https://www.canadiantire.ca/en/pdp/petco-squeak-plush-zebra-dog-toy-medium-1423965p.html#srp,
"Minwax® Pre-Tinted Water-Based Interior Wood Stain, Vermont Maple, 946-mL/1-qt",21.99,7.93,64.0,paint,048-0824-8,4.2,https://www.canadiantire.ca/en/pdp/minwax-pre-tinted-water-based-interior-wood-stain-vermont-maple-946-ml-1-qt-0480824p.html#srp,
Plano 3448 6-Compartment Pocket StowAway,4.99,2.93,41.0,fishing,077-7566-0,2.8,https://www.canadiantire.ca/en/pdp/plano-3448-6-compartment-pocket-stowaway-0777566p.html#srp,
"Dupli-Color Perfect Match Premium Acrylic Lacquer Automotive Aerosol Spray Paint, Dark Canyon Red (2H,EH), 227-g",21.99,3.93,82.0,car-care-accessories,047-2676-0,2.5,https://www.canadiantire.ca/en/pdp/dupli-color-perfect-match-premium-acrylic-lacquer-automotive-aerosol-spray-paint-dark-canyon-red-2h-eh-227-g-0472676p.html#srp,
"Abu Garcia Max Spincast Fishing Rod and Reel Combo, Pre-Spooled, Anti-Reverse, Medium, 6-ft, 2-pc",54.99,29.93,46.0,fishing,077-2688-0,1.6,https://www.canadiantire.ca/en/pdp/abu-garcia-max-spincast-fishing-rod-and-reel-combo-pre-spooled-anti-reverse-medium-6-ft-2-pc-0772688p.html#srp,
"Hot Wheels Vent Clip Air Freshener, Silver Bullet",5.99,2.43,59.0,car-care-accessories,037-6678-6,3.5,https://www.canadiantire.ca/en/pdp/hot-wheels-vent-clip-air-freshener-silver-bullet-0376678p.html#srp,
"Plano Fishing Tackle Waist Pack, Blue",24.99,17.93,28.0,fishing,077-2980-2,4.5,https://www.canadiantire.ca/en/pdp/plano-fishing-tackle-waist-pack-blue-0772980p.html#srp,
"Petco Wildlife Flattie Squeak Plush Beaver Dog Toy, Small",9.99,6.43,36.0,pet-care,142-3966-6,3.8,https://www.canadiantire.ca/en/pdp/petco-wildlife-flattie-squeak-plush-beaver-dog-toy-small-1423966p.html#srp,
"For Living Cherry Blossom Indoor Floor Mat, Assorted Sizes",,25.99,,home-decor,068-7755-2,4.1,https://www.canadiantire.ca/en/pdp/for-living-cherry-blossom-indoor-floor-mat-assorted-sizes-0687753p.html#srp,
"Globe Electric PAR20 E26 Base Dimmable LED Flood Light Bulbs, Tunable White, 50W, 2-pk",12.99,6.43,51.0,electrical,052-9487-4,2.3,https://www.canadiantire.ca/en/pdp/globe-electric-par20-e26-base-dimmable-led-flood-light-bulbs-tunable-white-50w-2-pk-0529487p.html#srp,
Petco Plush Giant Rat Cat Toy with Catnip,5.99,3.93,34.0,pet-care,142-3855-0,4.3,https://www.canadiantire.ca/en/pdp/petco-plush-giant-rat-cat-toy-with-catnip-1423855p.html#srp,
"Mastercraft Cold Chisels, 7/8 x 14 x 3/4-in",18.99,10.93,42.0,,058-1451-4,5.0,https://www.canadiantire.ca/en/pdp/mastercraft-cold-chisels-7-8-x-14-x-3-4-in-0581451p.html#srp,
"Graco TrueCoat 360 Spray Tips, 2-pk",35.99,17.93,50.0,paint,049-2554-6,2.7,https://www.canadiantire.ca/en/pdp/graco-truecoat-360-spray-tips-2-pk-0492554p.html#srp,
"Black Max Combination Wrench Set, 32-pc, SAE, CRV",,24.93,,tools,299-7702-8,4.0,https://www.canadiantire.ca/en/pdp/black-max-combination-wrench-set-32-pc-sae-crv-2997702p.html#srp,
"Peek Metal Polish, 50-mL",11.49,4.93,57.0,car-care-accessories,039-0778-0,4.7,https://www.canadiantire.ca/en/pdp/peek-metal-polish-50-ml-0390778p.html#srp,
"High & Mighty DrywAll Hanger, For Hanging Frames, No Tools Required, 60-lb Capacity, Silver, 1-pk",6.29,2.43,61.0,hardware,161-1048-8,0.0,https://www.canadiantire.ca/en/pdp/high-mighty-drywall-hanger-for-hanging-frames-no-tools-required-60-lb-capacity-silver-1-pk-1611048p.html#srp,
"Rawlings Helmet Extender, Left",24.99,11.93,52.0,team-sports-and-golf,080-1027-0,4.3,https://www.canadiantire.ca/en/pdp/rawlings-helmet-extender-left-0801027p.html#srp,
"Nu Finish Trim Doctor Car Trim Protectant & Restorer, 355-mL",14.99,6.93,54.0,car-care-accessories,039-1228-4,4.1,https://www.canadiantire.ca/en/pdp/nu-finish-trim-doctor-car-trim-protectant-restorer-355-ml-0391228p.html#srp,
"Trac Grabber Car Traction Aid for Snow, Mud & Sand, 2-pc",74.99,28.93,61.0,car-care-accessories,030-1109-6,3.3,https://www.canadiantire.ca/en/pdp/trac-grabber-car-traction-aid-for-snow-mud-sand-2-pc-0301109p.html#srp,
"Cadbury Chocolate Creme Egg, 34-g",1.79,0.89,50.0,food-drink,051-4185-4,4.8,https://www.canadiantire.ca/en/pdp/cadbury-chocolate-creme-egg-34-g-0514185p.html#srp,
"CANVAS Ceramic Rubberized Toothbrush Holder, White",10.99,5.93,46.0,home-decor,063-6231-4,0.0,https://www.canadiantire.ca/en/pdp/canvas-ceramic-rubberized-toothbrush-holder-white-0636231p.html#srp,
"HOME COLLECTIONS Wall Shelf Bracket, Espresso, 16-in x 48-in",27.99,9.93,65.0,home-organization,068-7083-0,4.5,https://www.canadiantire.ca/en/pdp/home-collections-wall-shelf-bracket-espresso-16-in-x-48-in-0687083p.html#srp,
MAXIMUM Impact Driver Holder/Drill Holster w/ Pockets 12x7x2-in,19.99,12.93,35.0,tools,058-0432-6,4.8,https://www.canadiantire.ca/en/pdp/maximum-impact-driver-holder-drill-holster-w-pockets-12x7x2-in-0580432p.html#srp,
"PAWS UP! 1-in Sliced Beef Femur Marrow Bones Dog Treats, 6-Pk, 396-g",12.99,6.93,47.0,pet-care,142-2091-2,3.9,https://www.canadiantire.ca/en/pdp/paws-up-1-in-sliced-beef-femur-marrow-bones-dog-treats-6-pk-396-g-1422091p.html#srp,
"Petco Unstuffed Squeak Plush Raccoon Dog Toy, Small",11.99,5.93,51.0,pet-care,142-3869-8,4.4,https://www.canadiantire.ca/en/pdp/petco-unstuffed-squeak-plush-raccoon-dog-toy-small-1423869p.html#srp,
"Refresh Your Car! Hanging Car Air Freshener, 3-pk",3.79,2.43,36.0,car-care-accessories,037-0725X,4.4,https://www.canadiantire.ca/en/pdp/refresh-your-car-hanging-car-air-freshener-3-pk-0370725p.html#srp,
"ShelterLogic Clearview EZ-Glide Water Resistant Sliding Shelter Door Kit, w/EZ Glide Doorfor ClearView 11-ft Wide Shelters",94.99,44.93,53.0,car-care-accessories,037-1160-6,4.7,https://www.canadiantire.ca/en/pdp/shelterlogic-clearview-ez-glide-water-resistant-sliding-shelter-door-kit-w-ez-glide-doorfor-clearview-11-ft-wide-shelters-0371160p.html#srp,
"HOME COLLECTIONS Metal Standard Shelf Track White, 24-in",4.99,1.43,71.0,home-organization,068-0291-6,3.7,https://www.canadiantire.ca/en/pdp/home-collections-metal-standard-shelf-track-white-24-in-0680291p.html#srp,
"Petco Unstuffed Squeak Plush Fox Dog Toy, Large",13.99,7.93,43.0,pet-care,142-3871-0,4.2,https://www.canadiantire.ca/en/pdp/petco-unstuffed-squeak-plush-fox-dog-toy-large-1423871p.html#srp,
"Captodor Odour Destroyer After Sports/Hockey Hands Hydro Gel, 90-mL",9.99,1.93,81.0,hockey,083-8571-4,4.0,https://www.canadiantire.ca/en/pdp/captodor-odour-destroyer-after-sports-hockey-hands-hydro-gel-90-ml-0838571p.html#srp,
"Forcefield PVC and Foam Lined Unisex Work Gloves, Large, Orange",12.99,6.43,51.0,outdoor-tools,059-2878-2,4.0,https://www.canadiantire.ca/en/pdp/forcefield-pvc-and-foam-lined-unisex-work-gloves-large-orange-0592878p.html#srp,
"Bulbs Are Easy TASC, Watermelon Seed Plug Kit, Beginner Gardeners, 6 Bulbs",9.99,1.93,81.0,gardening,159-1624-4,3.8,https://www.canadiantire.ca/en/pdp/bulbs-are-easy-tasc-watermelon-seed-plug-kit-beginner-gardeners-6-bulbs-1591624p.html#srp,
"Rapid Fix UV Fiber Patch, 3-in x 6-in",16.99,4.93,71.0,auto-maintenance,038-0051-0,3.0,https://www.canadiantire.ca/en/pdp/rapid-fix-uv-fiber-patch-3-in-x-6-in-0380051p.html#srp,
"Pioneer TS-G1320S 2-Way Coaxial 250W Car Speaker, 5-1/4-in",59.99,24.93,58.0,car-care-accessories,035-0395-8,4.7,https://www.canadiantire.ca/en/pdp/pioneer-ts-g1320s-2-way-coaxial-250w-car-speaker-5-1-4-in-0350395p.html#srp,
"DEWALT 12-in 32T & 2 x 80T Carbide Tipped Circular Saw Blade Set for Wood, 3-pk",,91.99,,tools,399-3809-2,4.7,https://www.canadiantire.ca/en/pdp/dewalt-12-in-32t-2-x-80t-carbide-tipped-circular-saw-blade-set-for-wood-3-pk-3993809p.html#srp,
"CANVAS Palm Breeze Outdoor Side Plates, 1-pc",4.99,2.43,51.0,backyard-living,059-7344-2,5.0,https://www.canadiantire.ca/en/pdp/canvas-palm-breeze-outdoor-side-plates-1-pc-0597344p.html#srp,
Delta McKenzie ShotBlocker® TravelPro Portable 4-Sided Arrow Target For Archery Practice,99.99,69.93,30.0,hunting,075-4032-2,3.6,https://www.canadiantire.ca/en/pdp/delta-mckenzie-shotblocker-travelpro-portable-4-sided-arrow-target-for-archery-practice-0754032p.html#srp,
"Burcam 750751P 3/4-in PVC Foot Valve, Grey",12.99,8.43,35.0,plumbing,062-5012-4,3.7,https://www.canadiantire.ca/en/pdp/burcam-750751p-3-4-in-pvc-foot-valve-grey-0625012p.html#srp,
"HOME COLLECTIONS Metal Standard Shelf Track White, 36-in",6.59,2.43,63.0,home-organization,068-0294-0,5.0,https://www.canadiantire.ca/en/pdp/home-collections-metal-standard-shelf-track-white-36-in-0680294p.html#srp,
Lucas Oil Fuel Treatment & Oil Stabilizer Set,,12.93,,auto-maintenance,399-9529-2,4.2,https://www.canadiantire.ca/en/pdp/lucas-oil-fuel-treatment-oil-stabilizer-set-3999529p.html#srp,
"Kimpex 901165 Type ST P43T Halogen Bulb, 60/60W",6.99,2.43,65.0,automotive-outdoor-adventure,026-2052-4,0.0,https://www.canadiantire.ca/en/pdp/kimpex-901165-type-st-p43t-halogen-bulb-60-60w-0262052p.html#srp,
"HOME COLLECTIONS Melamine Wall Shelf Board, White, 10-in x 36-in",15.99,6.93,57.0,home-organization,068-0625-4,5.0,https://www.canadiantire.ca/en/pdp/home-collections-melamine-wall-shelf-board-white-10-in-x-36-in-0680625p.html#srp,
"Feit Electric MR11 GU10 Base Dimmable LED Flood Light Bulb, 3000K, 240 Lumens, Warm White, 25W",15.49,7.93,49.0,electrical,052-8576-8,0.0,https://www.canadiantire.ca/en/pdp/feit-electric-mr11-gu10-base-dimmable-led-flood-light-bulb-3000k-240-lumens-warm-white-25w-0528576p.html#srp,
"Triton Black Streak Boat Remover, Clear, 950-ml",17.99,6.93,61.0,seasonal-recreation,079-0182-0,1.5,https://www.canadiantire.ca/en/pdp/triton-black-streak-boat-remover-clear-950-ml-0790182p.html#srp,
AutoTrends USB Air Purifier Replacement Filter,10.99,1.93,82.0,car-care-accessories,037-2695-8,0.0,https://www.canadiantire.ca/en/pdp/autotrends-usb-air-purifier-replacement-filter-0372695p.html#srp,
"Petco Squeak Plush Hedgehog Dog Toy, Medium",13.99,8.93,36.0,pet-care,142-4410-2,3.7,https://www.canadiantire.ca/en/pdp/petco-squeak-plush-hedgehog-dog-toy-medium-1424410p.html#srp,
Police Security Cavalier 100 Lumen Penlight,10.99,,,hardware,065-3148-8,3.0,https://www.canadiantire.ca/en/pdp/police-security-cavalier-100-lumen-penlight-0653148p.html#srp,
For Living Stainless Steel Soap Dish,10.99,5.93,46.0,home-decor,063-2296-4,2.5,https://www.canadiantire.ca/en/pdp/for-living-stainless-steel-soap-dish-0632296p.html#srp,
"Shock Doctor Core Supporter without Cup Pocket, Senior",14.99,0.93,94.0,hockey,083-8600X,4.0,https://www.canadiantire.ca/en/pdp/shock-doctor-core-supporter-without-cup-pocket-senior-0838600p.html#srp,
"Bona PowerPlus Antibacterial Hard Surface Floor Cleaner, Assorted Sizes",12.99,5.93,54.0,cleaning,153-1406X,3.6,https://www.canadiantire.ca/en/pdp/bona-powerplus-antibacterial-hard-surface-floor-cleaner-assorted-sizes-1531406p.html#srp,
"Dodge Caravan Plymouth Voyager & Chrysler Town & Country 1996 thru 2002 Haynes Repair Manual, 30011",32.99,7.93,76.0,auto-maintenance,025-9360-0,5.0,https://www.canadiantire.ca/en/pdp/dodge-caravan-plymouth-voyager-chrysler-town-country-1996-thru-2002-haynes-repair-manual-30011-0259360p.html#srp,
"Hillman Canvas Kit, For Plaster and DrywAll, Assorted Kit, 18x24-in, Assorted Finish",8.29,2.43,71.0,hardware,161-0745-4,0.0,https://www.canadiantire.ca/en/pdp/hillman-canvas-kit-for-plaster-and-drywall-assorted-kit-18x24-in-assorted-finish-1610745p.html#srp,
